COL1A1,DSG2,ECT2,FAT1,LAMC2,PLAU,PLOD2
16255,6517,8814,5446,3642,1019,5674
8437,1801,1834,6470,1727,1586,1587
37792,8096,1974,51383,6034,2340,1773
4631,2814,7706,40411,42636,2586,4792
63468,3683,5409,32115,6041,3962,8751
3922,7170,2723,16794,5221,2582,2789
42563,2954,2917,8526,1851,2441,2696
4316,2107,2010,11794,2143,687,2177
6074,3299,12446,4436,7076,633,2466
11554,4710,4018,12136,15856,4592,6804
169287,3375,3345,17054,6905,2864,6371
63767,3446,1228,16853,7504,3437,1742
77054,7236,3391,18783,13497,2183,3853
120976,14538,12658,8783,5638,3199,3949
12933,6664,5994,9715,9480,694,6374
310,5128,2680,25141,3230,657,1881
12056,838,1356,8040,1594,621,1261
22096,5614,7757,11934,3845,2927,3657
30874,6950,3791,16322,7176,1628,3506
4481,1603,1742,9542,2322,883,967
9652,4816,5950,8722,6729,1398,1372
1756,8058,9326,13238,13768,1289,7604
20750,8867,3394,18757,11413,640,2460
1460,3289,3184,8156,7322,3102,1662
11272,10547,4000,14877,14147,8355,3029
321,1382,1394,8939,1709,542,1837
6613,4045,2949,13024,7285,1105,1058
73396,7675,5662,23449,8242,2394,4829
6502,4217,2283,60418,4231,1489,1247
115766,4730,1973,19820,13732,2516,5513
6429,6528,1924,21925,5030,4500,778
34531,4903,2221,10084,6266,968,2609
7236,5160,3764,14641,2114,1313,2153
9995,2492,1694,21840,5997,841,1351
16204,5207,4755,8786,1837,1310,5296
40705,9012,2985,30708,48623,6471,2628
19619,5625,1608,12424,3747,808,577
156137,11826,6368,25321,22873,5379,3764
3569,3758,3327,21982,5766,5265,2277
37619,4329,7153,13342,5353,1844,4862
16212,4410,2691,19152,7615,1369,1836
11563,1709,2642,21151,2591,2465,2149
39260,4658,5663,15805,3347,1831,4160
54721,7990,2333,16398,30838,22923,2000
7095,6856,5193,10406,4519,2886,7398
58258,2504,2466,23255,14008,1499,1535
6198,4289,3628,8603,679,508,4427
447,400,967,2920,498,198,343
1516,534,1066,3511,1059,395,462
2210,594,988,4525,1058,433,856
1236,596,1283,3296,1503,437,789
1658,742,1023,3714,781,319,869
1850,460,729,3592,1016,267,372
928,608,660,4000,1041,258,371
511,605,1055,2286,1426,477,432
836,591,1022,4360,1166,661,374
1779,435,943,3613,1053,381,627
1409,505,754,3289,611,268,544
1182,496,1137,2302,1307,440,578
2741,544,918,4800,1038,315,737
1448,687,1195,5024,961,241,801
1148,452,824,2747,892,405,571
1310,944,782,4400,1092,649,470
2015,875,709,3954,685,478,734
1175,807,852,3906,704,294,736
1353,641,785,3296,1122,400,489
704,1313,1111,9489,1049,387,987
1022,703,886,3349,749,311,621
1805,673,905,3495,798,431,413
2653,578,763,3554,886,290,496
3049,950,610,4086,466,167,757
1053,617,1185,3212,554,399,512
